,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_isrna_rp03.pdb,11.75,5.551115123125783e-17,0.718,0.902,,0.686,16.371,23.74,0.345,0.191,0.238,0.345,0.607,0.696,-43427.3,362763.0,-0.12,0.0,1.223,1.403,1.966,-58439.06,-7028.972,0.446,0.287,0.0
normalized_3drna_rp03_3.pdb,12.163,3.885780586188048e-16,0.717,0.939,0.436,0.658,16.972,35.13,0.348,0.107,0.179,0.393,0.714,0.708,-33731.2,399039.0,-0.085,0.0,1.273,1.302,1.692,-57095.871,-7685.771,0.495,0.297,0.0
normalized_3drna_rp03_1.pdb,12.594,2.6645352591003757e-15,0.634,0.898,0.267,0.561,19.854,35.22,0.333,0.107,0.25,0.417,0.559,0.693,-35633.2,383517.0,-0.093,0.0,1.316,1.357,1.579,-55417.618,-7493.496,0.469,0.333,0.0
normalized_vfold_rp03.pdb,15.793,7.645209465501068e-10,0.636,0.869,0.0,0.589,24.834,,0.348,0.155,0.226,0.405,0.607,0.645,-36897.8,375117.0,-0.098,0.0,1.719,1.562,1.55,-51784.801,-6670.427,0.012,0.305,0.0
normalized_mcsym_rp03.pdb,15.965,1.3771813689444912e-09,0.744,0.92,0.0,0.726,21.466,34.84,0.316,0.107,0.226,0.345,0.583,0.686,-35475.1,354218.0,-0.1,0.0,1.607,1.376,1.978,-51369.644,-6395.768,0.017,0.273,0.0
normalized_rnacomposer_rp03.pdb,18.272,1.5495923577080184e-06,0.771,0.939,0.507,0.732,23.694,19.38,0.363,0.191,0.274,0.429,0.559,0.741,-37084.8,352273.0,-0.105,0.0,1.939,1.195,1.548,-56863.873,-7421.326,0.55,0.327,0.0
normalized_3drna_rp03.pdb,19.27,1.981868359579586e-05,0.752,0.92,0.189,0.736,25.623,29.71,0.298,0.167,0.238,0.333,0.452,0.719,-38326.8,369365.0,-0.104,0.0,1.989,1.326,1.923,-58979.515,-7470.602,0.509,0.237,0.0
normalized_rnajp_rp03.pdb,22.48,0.010002004297950673,0.55,0.635,0.0,0.563,40.891,,0.259,0.131,0.214,0.298,0.393,0.577,-19938.2,259144.0,-0.077,0.0,2.234,1.687,0.976,-31153.962,-2889.255,0.007,0.233,0.0
normalized_eprna_rp03.pdb,24.386,0.10251633571458418,0.074,0.0,0.0,0.106,327.399,,0.092,0.036,0.059,0.107,0.167,0.473,27505.2,422739.0,0.065,0.0,2.427,2.211,0.11,-15056.896,-661.099,0.0,0.135,0.0
normalized_ifoldrna_rp03_4.pdb,31.092,0.9930202146022934,0.282,0.0,0.0,0.426,110.165,,0.122,0.071,0.095,0.119,0.202,0.545,-18315.8,256037.0,-0.072,0.0,3.135,2.194,0.598,-30154.271,-88.802,0.001,0.19,0.0
normalized_ifoldrna_rp03_2.pdb,31.244,0.9944994090887722,0.303,0.0,0.0,0.455,103.169,,0.143,0.083,0.107,0.167,0.214,0.559,-23441.7,330592.0,-0.071,0.0,3.161,2.293,0.748,-39591.886,-2136.17,0.001,0.256,0.0
normalized_ifoldrna_rp03_3.pdb,31.915,0.9982254155203498,0.267,0.0,0.0,0.378,119.364,,0.137,0.071,0.107,0.143,0.226,0.562,-20966.3,286453.0,-0.073,0.0,3.228,2.224,0.747,-35089.014,-1516.417,0.001,0.207,0.0
normalized_ifoldrna_rp03_1.pdb,31.957,0.9983526352003929,0.308,0.0,0.0,0.449,103.836,,0.119,0.059,0.095,0.119,0.202,0.568,-20167.5,295698.0,-0.068,0.0,3.262,2.168,0.655,-35725.404,-1986.888,0.012,0.221,0.0
normalized_ifoldrna_rp03_5.pdb,34.194,0.9999855159056166,0.224,0.0,0.0,0.332,152.802,,0.134,0.071,0.107,0.131,0.226,0.544,-19088.0,303445.0,-0.063,0.0,3.428,2.274,0.668,-36195.59,-1369.069,0.001,0.182,0.0
normalized_simrna_rp03.pdb,65.958,1.0,0.0,,0.0,0.0,inf,70.59,0.077,0.048,0.059,0.083,0.119,0.525,-5859.23,107574.0,-0.054,0.0,6.397,1.864,0.113,-12597.198,-65.467,0.0,0.064,0.0
