,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CAD,RASP-ENERGY,RASP-NB-CONTACTS,RASP-NORMALIZED-ENERGY,CLASH,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,DFIRE,rsRNASP,lDDT,TM-score,QS-score
normalized_3drna_rp16_1.pdb,4.91,3.913371881125727e-05,0.664,0.816,0.408,0.679,7.39,21.27,0.0,0.0,0.0,0.0,0.0,,-9862.8,95476.0,-0.103,0.0,0.459,1.358,0.418,-16179.39,-4144.447,0.579,0.266,0.0
normalized_rnacomposer_rp16.pdb,4.93,4.10218648825289e-05,0.746,0.816,0.577,0.776,6.612,20.5,0.0,0.0,0.0,0.0,0.0,,-8430.99,89908.0,-0.094,0.0,0.517,1.158,0.355,-15055.6,-3413.607,0.603,0.159,0.0
normalized_3drna_rp16_4.pdb,4.976,4.5621843710985654e-05,0.58,0.722,,0.613,8.575,20.82,0.0,0.0,0.0,0.0,0.0,,-9711.2,95061.0,-0.102,0.0,0.493,1.52,0.4,-15909.283,-3041.009,0.506,0.202,0.0
normalized_3drna_rp16_2.pdb,5.666,0.000207906854934381,0.484,0.722,0.0,0.5,11.715,26.51,0.0,0.0,0.0,0.0,0.0,,-9274.89,111396.0,-0.083,0.0,0.515,1.714,0.418,-17195.457,-3579.93,0.512,0.197,0.0
normalized_vfoldpipeline_rp16.pdb,5.705,0.00022547856122545618,0.613,0.722,,0.66,9.312,23.15,0.0,0.0,0.0,0.0,0.0,,-10676.4,105790.0,-0.101,0.0,0.503,1.619,0.452,-16279.743,-3454.45,0.518,0.262,0.0
normalized_mcsym_rp16_2.pdb,5.772,0.0002596342889298331,0.641,0.866,0.408,0.626,9.004,34.95,0.0,0.0,0.0,0.0,0.0,,-8873.44,99494.0,-0.089,0.0,0.596,1.37,0.483,-14548.058,-3669.363,0.001,0.212,0.0
normalized_3drna_rp16_3.pdb,5.866,0.0003146081633610964,0.478,0.68,,0.482,12.274,28.87,0.0,0.0,0.0,0.0,0.0,,-7272.28,105511.0,-0.069,0.0,0.511,1.685,0.348,-15612.876,-2881.036,0.502,0.201,0.0
normalized_3drna_rp16_5.pdb,6.17,0.0005780778925130181,0.538,0.722,,0.555,11.467,23.57,0.0,0.0,0.0,0.0,0.0,,-9237.18,107114.0,-0.086,0.0,0.541,1.71,0.362,-16499.283,-3543.507,0.406,0.218,0.0
normalized_eprna_rp16.pdb,9.369,0.07043625729624953,,,,,,,0.0,0.0,0.0,0.0,0.0,,13284.2,66063.0,0.201,0.0,0.81,2.072,0.004,-4027.416,-1156.325,0.0,0.156,0.0
normalized_trrosettarna_rp16_4.pdb,9.458,0.0773435418481106,0.426,,0.0,0.588,22.189,51.05,0.0,0.0,0.0,0.0,0.0,,-3983.29,97332.0,-0.041,0.0,1.068,1.827,0.126,-12015.327,-2031.271,0.476,0.106,0.0
normalized_trrosettarna_rp16_5.pdb,9.518,0.0822779649806919,0.308,0.0,0.0,0.443,30.945,63.75,0.0,0.0,0.0,0.0,0.0,,-4337.5,97759.0,-0.044,0.0,1.064,1.819,0.131,-12126.192,-2333.115,0.532,0.096,0.0
normalized_simrna_rp16.pdb,21.453,0.9999999201468374,0.0,,0.0,,inf,74.73,0.0,0.0,0.0,0.0,0.0,,-1894.0,32300.0,-0.059,0.0,1.966,1.834,0.023,-3630.355,-54.297,0.0,0.105,0.0
