,RMSD,P-VALUE,INF-ALL,INF-WC,INF-NWC,INF-STACK,DI,MCQ,GDT-TS,GDT-TS@1,GDT-TS@2,GDT-TS@4,GDT-TS@8,CLASH,TM-score,BARNABA-RMSD,BARNABA-eRMSD,BARNABA-eSCORE,lDDT,CAD,QS-score,LCS-TA-COVERAGE,LCS-TA-RESIDUES
normalized_vfoldpipeline_r1189.pdb,30.267,0.1019752320833053,0.653,0.838,,0.567,46.34,38.55,0.197,0.076,0.161,0.254,0.297,0.0,0.235,3.092,1.326,2.133,0.492,0.692,,,
normalized_vfold_r1189_3.pdb,30.494,0.1263003207026525,0.658,0.851,,0.582,46.319,37.35,0.178,0.059,0.127,0.22,0.305,0.0,0.189,3.092,1.589,2.15,0.002,0.641,,,
normalized_vfold_r1189_1.pdb,30.921,0.1821551414224535,0.636,0.838,,0.541,48.622,40.51,0.186,0.076,0.161,0.22,0.288,0.0,0.202,3.127,1.61,1.808,0.007,0.673,,,
normalized_trrosettarna_r1189_2.pdb,31.093,0.2085502324164376,0.561,0.645,,0.544,55.423,40.28,0.176,0.085,0.136,0.212,0.271,0.0,0.185,3.145,1.457,1.466,0.489,0.663,,,
normalized_rnajp_r1189.pdb,31.705,0.318699523048851,0.681,0.838,,0.633,46.578,33.93,0.186,0.076,0.127,0.237,0.305,0.0,0.206,3.225,1.408,2.921,0.06,0.667,,,
normalized_vfold_r1189_4.pdb,32.248,0.432732836206083,0.621,0.838,,0.545,51.971,38.27,0.18,0.068,0.127,0.22,0.305,0.0,0.21,3.305,1.56,2.054,0.005,0.664,,,
normalized_trrosettarna_r1189_3.pdb,34.59,0.8710170048662522,0.532,0.706,,0.493,65.043,37.93,0.172,0.093,0.127,0.195,0.271,0.0,0.188,3.522,1.51,1.68,0.49,0.658,,,
normalized_trrosettarna_r1189_5.pdb,35.307,0.9369873596683856,0.447,0.464,,0.488,78.9,46.99,0.161,0.068,0.102,0.203,0.271,0.0,0.194,3.588,1.631,1.027,0.453,0.639,,,
normalized_rnacomposer_r1189.pdb,35.366,0.9409329284968349,0.66,0.851,,0.602,53.61,35.5,0.193,0.068,0.144,0.254,0.305,0.0,0.208,3.576,1.475,2.283,0.514,0.662,,,
normalized_trrosettarna_r1189_1.pdb,36.473,0.985282192893102,0.499,0.739,,0.445,73.056,37.91,0.172,0.076,0.119,0.212,0.28,0.0,0.182,3.699,1.52,1.971,0.5,0.648,,,
normalized_vfold_r1189_5.pdb,37.812,0.998258088745041,0.654,0.851,,0.579,57.81,39.76,0.197,0.076,0.178,0.212,0.322,0.0,0.201,3.85,1.431,2.143,0.005,0.692,,,
normalized_alphafold3_R1189_1.pdb,26.574,0.0004465833684565,0.664,0.791,,0.625,40.004,32.73,0.208,0.119,0.144,0.254,0.314,0.0,0.267,2.734,1.587,3.269,0.526,0.683,0.0,98.305,116.0
normalized_alphafold3_R1189_5.pdb,26.963,0.0009481425003012,0.674,0.802,,0.625,40.03,32.76,0.199,0.11,0.136,0.246,0.305,0.0,0.268,2.791,1.594,3.277,0.533,0.685,0.0,98.305,116.0
normalized_alphafold3_R1189_3.pdb,27.003,0.0010219153089164,0.669,0.802,,0.622,40.371,32.44,0.218,0.11,0.144,0.254,0.364,0.0,0.242,2.789,1.591,3.305,0.534,0.686,0.0,98.305,116.0
normalized_alphafold3_R1189_4.pdb,27.978,0.0055141912463066,0.662,0.78,,0.625,42.263,32.7,0.197,0.11,0.136,0.237,0.305,0.0,0.264,2.886,1.581,3.251,0.526,0.686,0.0,98.305,116.0
normalized_alphafold3_R1189_2.pdb,28.275,0.0087260044739102,0.669,0.791,,0.625,42.272,32.71,0.205,0.11,0.136,0.254,0.322,0.0,0.234,2.904,1.59,3.263,0.528,0.684,0.0,98.305,116.0
